File Path,Scan Result
C:/Users/Sathu Mathu/Downloads\72adde6903619acf53767fd92016868e4d329a3815086cafe564a66b3113d1e5.vbs,Malware detected
C:/Users/Sathu Mathu/Downloads\72adde6903619acf53767fd92016868e4d329a3815086cafe564a66b3113d1e5.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\applsci-12-08482.pdf,File appears clean
C:/Users/Sathu Mathu/Downloads\bases.cav,File appears clean
C:/Users/Sathu Mathu/Downloads\BraveBrowserSetup-BRV011.exe,File appears clean
C:/Users/Sathu Mathu/Downloads\Datasets.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\desktop.ini,File appears clean
C:/Users/Sathu Mathu/Downloads\diagram-export-2-3-2025-9_11_17-AM.png,File appears clean
C:/Users/Sathu Mathu/Downloads\diagram-export-2-3-2025-9_13_52-AM.png,File appears clean
C:/Users/Sathu Mathu/Downloads\document-export-2-3-2025-9_11_16-AM.md,File appears clean
C:/Users/Sathu Mathu/Downloads\document-export-2-3-2025-9_13_51-AM.md,File appears clean
C:/Users/Sathu Mathu/Downloads\download.csv,File appears clean
C:/Users/Sathu Mathu/Downloads\download.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\eraser-export-export-2-3-2025-9_11_17-AM.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\eraser-export-export-2-3-2025-9_13_52-AM.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\Git-2.47.1.2-64-bit.exe,File appears clean
C:/Users/Sathu Mathu/Downloads\HashDB,File appears clean
C:/Users/Sathu Mathu/Downloads\HPSupportSolutionsFramework-13.0.1.131.exe,File appears clean
C:/Users/Sathu Mathu/Downloads\MiAssistant-4.2.1028.10.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\minitool Partition Wizard.txt,File appears clean
C:/Users/Sathu Mathu/Downloads\OJT Report - Sathursan 2018ICTBIT04.pdf,File appears clean
C:/Users/Sathu Mathu/Downloads\Project Discussion 24_25 .xlsx,File appears clean
C:/Users/Sathu Mathu/Downloads\pw-free-online.exe,File appears clean
C:/Users/Sathu Mathu/Downloads\Sathursan 2018ICTBIT04.docx,File appears clean
C:/Users/Sathu Mathu/Downloads\SMBS SRS.docx,File appears clean
C:/Users/Sathu Mathu/Downloads\Untitled file (1).jpg,File appears clean
C:/Users/Sathu Mathu/Downloads\Untitled file.jpg,File appears clean
C:/Users/Sathu Mathu/Downloads/diagram-export-2-3-2025-9_13_52-AM.png,File appears clean.
File Path,Scan Result
C:/Users/Sathu Mathu/Downloads\72adde6903619acf53767fd92016868e4d329a3815086cafe564a66b3113d1e5.vbs,Malware detected
C:/Users/Sathu Mathu/Downloads\72adde6903619acf53767fd92016868e4d329a3815086cafe564a66b3113d1e5.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\applsci-12-08482.pdf,File appears clean
C:/Users/Sathu Mathu/Downloads\bases.cav,File appears clean
C:/Users/Sathu Mathu/Downloads\BraveBrowserSetup-BRV011.exe,File appears clean
C:/Users/Sathu Mathu/Downloads\Datasets.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\desktop.ini,File appears clean
C:/Users/Sathu Mathu/Downloads\diagram-export-2-3-2025-9_11_17-AM.png,File appears clean
C:/Users/Sathu Mathu/Downloads\diagram-export-2-3-2025-9_13_52-AM.png,File appears clean
C:/Users/Sathu Mathu/Downloads\document-export-2-3-2025-9_11_16-AM.md,File appears clean
C:/Users/Sathu Mathu/Downloads\document-export-2-3-2025-9_13_51-AM.md,File appears clean
C:/Users/Sathu Mathu/Downloads\download.csv,File appears clean
C:/Users/Sathu Mathu/Downloads\download.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\eraser-export-export-2-3-2025-9_11_17-AM.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\eraser-export-export-2-3-2025-9_13_52-AM.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\Git-2.47.1.2-64-bit.exe,File appears clean
C:/Users/Sathu Mathu/Downloads\HashDB,File appears clean
C:/Users/Sathu Mathu/Downloads\HPSupportSolutionsFramework-13.0.1.131.exe,File appears clean
C:/Users/Sathu Mathu/Downloads\MiAssistant-4.2.1028.10.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\minitool Partition Wizard.txt,File appears clean
C:/Users/Sathu Mathu/Downloads\OJT Report - Sathursan 2018ICTBIT04.pdf,File appears clean
C:/Users/Sathu Mathu/Downloads\Project Discussion 24_25 .xlsx,File appears clean
C:/Users/Sathu Mathu/Downloads\pw-free-online.exe,File appears clean
C:/Users/Sathu Mathu/Downloads\Sathursan 2018ICTBIT04.docx,File appears clean
C:/Users/Sathu Mathu/Downloads\SMBS SRS.docx,File appears clean
C:/Users/Sathu Mathu/Downloads\Untitled file (1).jpg,File appears clean
C:/Users/Sathu Mathu/Downloads\Untitled file.jpg,File appears clean
C:/Users/Sathu Mathu/Downloads/eraser-export-export-2-3-2025-9_11_17-AM.zip,File appears clean.
File Path,Scan Result
C:/Users/Sathu Mathu/Downloads\72adde6903619acf53767fd92016868e4d329a3815086cafe564a66b3113d1e5.vbs,Malware detected
C:/Users/Sathu Mathu/Downloads\72adde6903619acf53767fd92016868e4d329a3815086cafe564a66b3113d1e5.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\applsci-12-08482.pdf,File appears clean
C:/Users/Sathu Mathu/Downloads\bases.cav,File appears clean
C:/Users/Sathu Mathu/Downloads\BraveBrowserSetup-BRV011.exe,File appears clean
C:/Users/Sathu Mathu/Downloads\Datasets.zip,File appears clean
C:/Users/Sathu Mathu/Downloads\desktop.ini,File appears clean
C:/Users/Sathu Mathu/Downloads\diagram-export-2-3-2025-9_11_17-AM.png,File appears clean
C:/Users/Sathu Mathu/Downloads\diagram-export-2-3-2025-9_13_52-AM.png,File appears clean
C:/Users/Sathu Mathu/Downloads\document-export-2-3-2025-9_11_16-AM.md,File appears clean
C:/Users/Sathu Mathu/Downloads\document-export-2-3-2025-9_13_51-AM.md,File appears clean
C:/Users/Sathu Mathu/Downloads\download.csv,File appears clean
